OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,NEIGHBOURHOOD_158
476,GO-20103528531,2010.09.10,2010,September,10,Friday,253,D43,Shooting,Woburn North
477,GO-20103836758,2010.09.12,2010,September,12,Sunday,255,D31,Shooting,Black Creek
478,GO-20103912797,2010.09.12,2010,September,12,Sunday,255,D12,Other,Brookhaven-Amesbury
479,GO-20103905801,2010.09.25,2010,September,25,Saturday,268,D23,Stabbing,Humber Heights-Westmount
480,GO-20103708472,2010.09.29,2010,September,29,Wednesday,272,D12,Shooting,Weston
481,GO-20103708472,2010.09.29,2010,September,29,Wednesday,272,D12,Shooting,Weston
482,GO-20103633942,2010.10.04,2010,October,4,Monday,277,D31,Shooting,Black Creek
483,GO-20103834477,2010.10.04,2010,October,4,Monday,277,D14,Shooting,South Parkdale
484,GO-20103561941,2010.10.09,2010,October,9,Saturday,282,D51,Shooting,Regent Park
485,GO-20103561941,2010.10.09,2010,October,9,Saturday,282,D51,Shooting,Regent Park
486,GO-20103520082,2010.10.17,2010,October,17,Sunday,290,D41,Shooting,Oakridge
487,GO-20103772354,2010.10.25,2010,October,25,Monday,298,D51,Shooting,Regent Park
488,GO-20103355708,2010.10.27,2010,October,27,Wednesday,300,D55,Stabbing,South Riverdale
489,GO-20103911901,2010.11.17,2010,November,17,Wednesday,321,D32,Shooting,Willowdale West
490,GO-20103929126,2010.11.20,2010,November,20,Saturday,324,D33,Shooting,Don Valley Village
491,GO-20103988019,2010.11.22,2010,November,22,Monday,326,D31,Shooting,Glenfield-Jane Heights
492,GO-20103904746,2010.11.24,2010,November,24,Wednesday,328,D43,Shooting,Woburn North
493,GO-20103845292,2010.11.27,2010,November,27,Saturday,331,D52,Other,Wellington Place
494,GO-20103878370,2010.11.29,2010,November,29,Monday,333,D51,Shooting,Regent Park
495,GO-20104003542,2010.12.02,2010,December,2,Thursday,336,D55,Other,East End-Danforth
496,GO-20104016091,2010.12.25,2010,December,25,Saturday,359,D12,Shooting,Rockcliffe-Smythe
497,GO-2018104863,2010.12.29,2010,December,29,Wednesday,363,D52,Other,Thorncliffe Park
498,GO-20113922539,2011.01.01,2011,January,1,Saturday,1,D14,Stabbing,Wellington Place
499,GO-20112885827,2011.01.05,2011,January,5,Wednesday,5,D41,Shooting,Ionview
500,GO-20113737551,2011.01.06,2011,January,6,Thursday,6,D43,Other,West Hill
